Part Number,Type,Bore (d) mm,OD (D) mm,Width (T) mm,Weight (kg),C Load,C0 Load,Max RPM,Price (GBP),Price (INR),Price (USD)
323396XS/323549XC,C,396.875,549.275,85,56,23545,16950,1200,N/A,N/A,N/A
307506/307636C,C,506,636,80,56,24760,17060,1000,N/A,N/A,N/A
307506/307636,Plain,506,636,80,55,24760,17060,1000,N/A,N/A,N/A
380330X/380482XC,C,330.2,482.6,85.72,50.5,27265,17140,1400,N/A,N/A,N/A
380330X/380482X,Plain,330.2,482.6,85.72,49.5,27265,17140,1400,43707.41,8741482,55508.41
323406XS/323549XC,C,406.4,549.275,85,47.97,23545,16950,1200,N/A,N/A,N/A
323406XS/323549X,Plain,406.4,549.275,85,46.5,23545,16950,1200,48181.94,9636388,61191.06
300457X/300596XC,C,457.2,596.9,80,46,23805,14950,1100,N/A,N/A,N/A
300457X/300596X,Plain,457.2,596.9,80,45,23805,14950,1100,49534.77,9906954,62909.15
303371X/303508XCS,Plain,371.475,508,80,45,21150,11340,1300,N/A,N/A,N/A
303381X/303508XC,C,381,508,80,38,21150,11340,1300,N/A,N/A,N/A
303381X/303508X,Plain,381,508,80,36.8,21150,11340,1300,34124.71,6824942,43338.37
320275/320406XC,C,275,406.4,78,32.54,19660,10400,1600,N/A,N/A,N/A
320275/320406X,Plain,275,406.4,78,31.71,19660,10400,1600,32828.97,6565794,41692.79
320280X/320406XC,C,280.194,406.4,78,31.16,19660,10400,1600,N/A,N/A,N/A
320280X/320406X,Plain,280.194,406.4,78,30.33,19660,10400,1600,32828.97,6565794,41692.79
282355X/282482XC,C,355.6,482.6,60.32,26.2,13925,13240,1400,N/A,N/A,N/A
282355X/282482X,Plain,355.6,482.6,60.32,25.5,13925,13240,1400,43831.12,8766224,55665.52
382254X/382400XC,C,254,400.05,57.15,24.86,14105,7230,1700,N/A,N/A,N/A
382254X/382400X,Plain,254,400.05,57.15,24.1,14105,7230,1700,33007.17,6601434,41919.11
284215X/284355XC,C,215.9,355.6,68.26,22.9,13910,9295,1900,N/A,N/A,N/A
284228X/284355XC,C,228.6,355.6,68.26,22.9,13910,9295,1900,N/A,N/A,N/A
284215X/284355X,Plain,215.9,355.6,68.26,22.4,13910,9295,1900,N/A,N/A,N/A
284228X/284355X,Plain,228.6,355.6,68.26,22.4,13910,9295,1900,N/A,N/A,N/A
284234X/284355XC,C,234.95,355.6,68.26,21.66,13910,9295,1900,N/A,N/A,N/A
284234X/284355X,Plain,234.95,355.6,68.26,21.16,13910,9295,1900,16971.39,3394278,21553.68
232431X/232533XC,C,431.8,533.4,50.8,20.8,12170,8365,1200,N/A,N/A,N/A
232431X/232533X,Plain,431.8,533.4,50.8,20,12170,8365,1200,47375.14,9475028,60166.43
283203X/283317XC,C,203.2,317.5,63.5,17.34,12875,7715,2100,N/A,N/A,N/A
283203X/283317X,Plain,203.2,317.5,63.5,16.84,12875,7715,2100,15165.87,3033174,19260.65
283210/283317XC,C,210,317.5,63.5,16.04,12875,7715,2100,N/A,N/A,N/A
283203X/283310C,C,203.2,310,63.5,15.9,12875,7715,2100,15513.2,3102640,19701.77
283210/283317X,Plain,210,317.5,63.5,15.54,12875,7715,2100,15165.87,3033174,19260.65
283203X/283310,Plain,203.2,310,63.5,15.5,12875,7715,2100,15165.87,3033174,19260.65
